			Gravity FAA (Sandwell et al, v24.1)	EMAG2 (2-arc-minute resolution, 2013)	Gravity (Sandwell and Smith 97)	GMRT Grid Version 3.9
Longitude	Latitude	Distance (km)	Free-Air Anomaly (mgal)	Magnetic Anomaly (nT)	Gravity Anomaly (mgal)	Elevation (m)
-104.84073	9.147009	231.8369	-0.88971364	-38.908825	1.3897418	-3120.237
-104.831955	9.147676	232.80289	-0.82501084	-39.683723	0.614901	-3084.2012
-104.82318	9.148345	233.76888	-0.39815962	-40.42118	-0.39492765	-3071.9946
-104.81441	9.149013	234.73486	0.17553264	-41.29858	-1.6087996	-2981.5864
-104.80563	9.14968	235.70085	0.895045	-42.39511	-2.7167392	-2915.7322
-104.79686	9.150348	236.66684	1.3681455	-43.720142	-3.638936	-3024.8335
-104.788086	9.151014	237.63283	1.5798827	-45.030132	-4.2630405	-3019.6946
-104.77931	9.151682	238.59882	1.504061	-46.691906	-4.566654	-2936.0908
-104.770546	9.1523485	239.5648	1.1295153	-49.166706	-4.5629163	-2956.9377
-104.76177	9.153015	240.53079	0.6728571	-52.904152	-4.2561045	-3018.4265
-104.753	9.153681	241.49678	0.14150774	-58.047302	-3.6930594	-3056.462
-104.744225	9.154347	242.46277	-0.31604138	-64.03639	-2.9099848	-3101.3364
-104.73545	9.155013	243.42876	-0.69545317	-70.22353	-2.0861623	-3163.8027
-104.72668	9.155679	244.39474	-1.0197887	-76.068855	-1.2712045	-3059.9197
-104.7179	9.156344	245.36073	-1.3009642	-82.009	-0.68373764	-3086.3232
-104.70913	9.15701	246.32672	-1.6049373	-87.90507	-0.3135808	-3136.5486
-104.700356	9.157675	247.29271	-1.9347287	-93.430885	-0.26800147	-3113.2546
-104.69158	9.1583395	248.2587	-2.0792646	-98.26102	-0.43219748	-3156.2798
-104.68281	9.159004	249.22469	-2.0032048	-102.274956	-0.77611405	-3153.899
-104.674034	9.159669	250.19067	-1.7971851	-105.87648	-1.0780648	-3162.6973
-104.66526	9.160333	251.15666	-1.4684767	-109.49875	-1.1872332	-3087.3193
-104.65649	9.160996	252.12265	-1.0503005	-113.47056	-1.0740149	-3064.3127
-104.64771	9.16166	253.08864	-0.542749	-117.46119	-0.6685088	-3069.3542
-104.63894	9.162324	254.05463	-0.2000596	-121.45564	-0.11895927	-3048.0408
-104.630165	9.162988	255.02061	-0.052025925	-125.58301	0.5522052	-2960.719
-104.62139	9.1636505	255.9866	-0.04343139	-130.01248	1.1527892	-2916.4
-104.61262	9.164313	256.95258	-0.172832	-134.88019	1.6606467	-3006.522
-104.60384	9.164976	257.91855	-0.33448628	-139.82526	1.9148035	-3101.591
-104.59507	9.165639	258.88452	-0.5133751	-144.43854	1.9157945	-3087.9585
-104.586296	9.166301	259.8505	-0.6446943	-148.37238	1.7157134	-3019.8755
-104.57752	9.166964	260.81647	-0.69859713	-151.72627	1.3516023	-2995.5515
-104.56875	9.167625	261.78244	-0.85766137	-154.69553	1.0550205	-2984.8965
-104.559975	9.168286	262.7484	-1.1704154	-157.43402	0.8317295	-2965.0964
-104.5512	9.168948	263.7144	-1.5998209	-160.10211	0.8219944	-3010.7893
-104.54243	9.169609	264.68036	-2.162682	-162.80275	0.9800959	-3073.0596
-104.533646	9.170271	265.64633	-2.644738	-165.31683	1.3041567	-3199.2527
-104.52487	9.170931	266.6123	-3.023532	-167.37164	1.7132643	-3218.3088
-104.5161	9.171592	267.57828	-3.2304873	-168.7458	2.1524863	-3209.5537
-104.507324	9.172253	268.54425	-3.237592	-169.71194	2.5242395	-3209.7544
-104.49855	9.172913	269.51022	-3.016156	-170.13243	2.7513006	-3133.9114
-104.48978	9.173573	270.4762	-2.5438673	-169.72939	2.8395193	-3054.7998
-104.481	9.1742325	271.44217	-1.9954878	-168.19879	2.7823381	-3016.4758
-104.47223	9.174891	272.40814	-1.3772753	-165.30849	2.5426152	-2950.8086
-104.463455	9.175551	273.3741	-0.68675923	-161.54747	2.1080835	-2927.2288
-104.45468	9.17621	274.3401	0.0942448	-157.52104	1.4891421	-2949.7192
-104.44591	9.176869	275.30606	0.6861975	-153.74036	0.66620934	-2969.6
-104.43713	9.177527	276.27203	1.056314	-149.75702	-0.26734933	-2991.9773
-104.42835	9.178186	277.238	1.1190859	-145.71051	-1.3055142	-3069.7122
-104.41958	9.178844	278.20398	0.83004594	-141.98102	-2.3623784	-3109.946
-104.410805	9.1795025	279.16995	0.1980128	-138.93367	-3.4126961	-3099.9834
-104.40203	9.1801605	280.13593	-0.820476	-136.62927	-4.2745013	-3066.9346
-104.39326	9.180819	281.1019	-1.9286034	-134.7195	-4.943976	-3047.3926
-104.38448	9.181476	282.06787	-3.1156924	-132.8331	-5.328799	-3026.4155
-104.37571	9.182133	283.03384	-4.1028357	-130.6415	-5.4093623	-2979.2683
-104.36693	9.18279	283.99982	-4.856978	-128.27638	-5.0947366	-2930.891
-104.358154	9.183447	284.9658	-5.144127	-125.8383	-4.4681835	-2993.0173
-104.34938	9.184103	285.93176	-4.8920293	-123.33799	-3.6111681	-3102.5532
-104.34061	9.18476	286.89774	-4.1293426	-120.72949	-2.5287611	-3165.6694
-104.33183	9.185416	287.8637	-2.8081088	-117.68249	-1.2012733	-3188.014
-104.32306	9.186071	288.82968	-1.227624	-114.544365	0.19214469	-3104.3933
-104.314285	9.186728	289.79565	0.5809764	-111.84191	1.5676501	-2990.4482
-104.305504	9.187383	290.76163	2.3504672	-110.064865	2.881882	-2866.8616
-104.29673	9.188039	291.7276	4.015684	-109.04719	4.0938683	-2799.4514
-104.28796	9.188694	292.69357	5.5437717	-108.61611	5.2825537	-2809.3672
-104.27918	9.189348	293.65955	6.8960266	-108.7213	6.4349523	-2782.58
-104.27041	9.190003	294.62552	8.296786	-109.36228	7.698798	-2726.0044
-104.26163	9.190658	295.5915	9.805323	-110.8165	9.06903	-2748.762
-104.25285	9.191312	296.55746	11.228292	-112.83325	10.503241	-2747.2366
-104.24408	9.191966	297.52344	12.568573	-114.99647	11.929711	-2714.74
-104.235306	9.192619	298.4894	13.628108	-116.89789	12.986382	-2717.7927
-104.22653	9.193274	299.45538	14.419001	-118.58143	13.699818	-2671.2952
-104.21775	9.193927	300.42136	14.6426	-120.23883	13.990563	-2611.692
-104.20898	9.19458	301.38733	14.225799	-122.03048	13.872186	-2596.971
-104.2002	9.195233	302.3533	13.229919	-124.14678	13.29814	-2639.7756
-104.19143	9.195886	303.31927	11.604763	-126.736725	12.333252	-2720.1934
-104.182655	9.196538	304.28525	9.830993	-129.5646	11.021323	-2716.5676
-104.173874	9.19719	305.25122	7.942126	-132.33078	9.471987	-2721.4055
-104.1651	9.197843	306.2172	6.2307715	-134.80388	7.7268324	-2790.772
-104.15633	9.198495	307.18317	4.769466	-137.45657	5.901706	-2877.4722
-104.14755	9.199146	308.14914	3.5769973	-140.00578	4.0403504	-2866.8367
-104.13877	9.199798	309.1151	2.6725435	-141.87486	2.2781646	-2875.372
