			EMAG2 (2-arc-minute resolution, 2013)	Gravity FAA (Sandwell et al, v24.1)	Gravity (Sandwell and Smith 97)	GMRT Grid Version 3.9
Longitude	Latitude	Distance (km)	Magnetic Anomaly (nT)	Free-Air Anomaly (mgal)	Gravity Anomaly (mgal)	Elevation (m)
-44.924366	27.27255	901.7045	-13.882987	16.833466	15.898468	-3364.2
-44.89075	27.262808	905.1995	-11.471687	14.665913	12.72513	-3282.9941
-44.857136	27.253056	908.6945	-17.369347	9.682022	9.508131	-3255.419
-44.82353	27.243296	912.1895	-26.474266	6.7719088	7.283347	-3198.4011
-44.78993	27.233528	915.6845	-27.836304	4.1080055	6.335215	-3315.637
-44.756336	27.223751	919.1795	-15.4553995	2.8518653	8.175364	-3358.052
-44.722744	27.213968	922.6745	-2.520333	6.0995092	12.6961565	-3224.46
-44.689163	27.204176	926.1695	-7.9839506	15.879697	17.755152	-3113.5283
-44.655586	27.194376	929.6645	-26.08366	23.23901	21.023409	-3087.3281
-44.622013	27.184568	933.1595	-36.41097	23.150492	20.550142	-3093.2979
-44.588448	27.174753	936.6545	-44.828327	18.355688	16.353	-3113.0042
-44.55489	27.164928	940.1495	-64.97501	11.451968	8.579615	-2987.2747
-44.521336	27.155098	943.6445	-89.131065	3.6699016	-0.91864264	-3006.5447
-44.48779	27.145258	947.13947	-97.27513	-7.220924	-10.765553	-3286.5408
-44.454247	27.13541	950.63446	-79.21868	-17.200249	-18.75506	-3564.2063
-44.42071	27.125553	954.12946	-34.463512	-22.25442	-21.088785	-3750.0288
-44.38718	27.11569	957.62445	34.95855	-22.336704	-17.123198	-3795.1519
-44.353657	27.105818	961.11945	114.742714	-14.101277	-7.40781	-3620.8992
-44.320137	27.09594	964.61444	176.61157	1.5207293	8.394072	-3217.2898
-44.286625	27.086052	968.10944	193.97876	20.463331	25.11303	-2777.6245
-44.25312	27.076157	971.60443	161.54987	35.731277	37.21143	-2664.5964
-44.21962	27.066252	975.0994	95.5848	44.005196	44.122124	-2522.887
-44.186127	27.056341	978.5944	20.21989	49.09544	47.81775	-2712.463
-44.152637	27.046423	982.0894	-38.877426	51.65787	49.539562	-2434.4888
-44.119156	27.036495	985.5844	-65.15424	50.488766	49.170837	-2800.8132
-44.08568	27.02656	989.0794	-43.80898	49.733036	46.756516	-2553.7227
-44.052208	27.016617	992.5744	20.5944	47.85609	42.54368	-2513.3545
-44.01874	27.006666	996.0694	86.1142	37.044792	35.540672	-2996.2585
-43.985283	26.996706	999.5644	110.52342	27.129192	27.82757	-3476.9502
-43.95183	26.98674	1003.0594	91.15317	23.293324	24.002089	-3452.5896
-43.918385	26.976765	1006.5544	60.75487	23.57532	26.260138	-3501.919
-43.88494	26.966784	1010.0494	42.860695	29.646618	31.263273	-3446.33
-43.85151	26.956793	1013.5444	38.10687	36.532852	34.526688	-2852.7456
-43.818077	26.946795	1017.03937	31.456173	38.36696	34.088417	-2946.9211
-43.784657	26.936789	1020.53436	13.299646	33.75052	30.441591	-3254.3755
-43.751236	26.926773	1024.0293	-6.211065	26.730907	24.645887	-3212.1157
-43.717827	26.916752	1027.5243	-11.498015	16.6397	17.427458	-3376.005
-43.68442	26.906723	1031.0193	-4.7790246	8.285502	12.282749	-4019.6116
-43.65102	26.896685	1034.5143	-2.151011	6.7952924	11.638316	-3715.2952
-43.617626	26.886639	1038.0093	-9.588378	11.4137335	13.076933	-3222.1436
-43.58424	26.876585	1041.5043	-13.180904	14.313243	13.629117	-3352.625
-43.550858	26.866524	1044.9993	1.8707509	13.596691	14.166329	-3612.0034
-43.517483	26.856455	1048.4943	25.71833	14.385609	16.272959	-3402.6365
-43.48411	26.846378	1051.9893	38.06059	17.10668	17.631533	-3345.2603
-43.45075	26.836294	1055.4843	30.40315	17.875685	15.966043	-3396.2136
-43.41739	26.8262	1058.9792	19.037575	16.368269	13.955775	-3783.183
-43.384037	26.816101	1062.4742	10.677525	14.933568	14.521368	-3477.656
-43.350693	26.805992	1065.9692	-0.63628477	13.226518	15.966329	-3457.1167
-43.317352	26.795877	1069.4642	-11.4689245	10.8849945	17.59567	-3593.6626
-43.28402	26.785753	1072.9592	-11.200967	9.5639515	18.157763	-3565.6658
-43.25069	26.775621	1076.4542	8.774818	9.344085	14.608334	-3521.126
-43.21737	26.765482	1079.9492	40.40373	7.53163	10.1189	-3620.2427
-43.18405	26.755335	1083.4442	66.312935	7.8506937	8.624555	-3704.7773
-43.15074	26.74518	1086.9392	72.15089	9.010305	7.2499914	-3761.7527
-43.117435	26.735018	1090.4342	59.435448	8.851805	5.4464192	-3750.6755
-43.084137	26.724846	1093.9292	37.62712	9.859988	5.364567	-3631.7444
-43.050846	26.714668	1097.4242	18.358068	10.811647	7.3796816	-3538.4348
-43.01756	26.704483	1100.9192	11.8069515	11.532791	9.452255	-3507.6602
-42.98428	26.694288	1104.4142	16.787184	11.890944	9.771191	-3561.1545
-42.951004	26.684088	1107.9092	19.942636	10.821834	8.096667	-3686.4807
-42.917736	26.673878	1111.4042	11.277825	7.8217835	5.6284366	-3828.395
-42.88447	26.66366	1114.8992	-6.126638	3.1637812	3.9368782	-3955.7278
-42.851215	26.653435	1118.3942	-20.18158	2.4573112	4.5296626	-4007.8616
-42.817966	26.643204	1121.8892	-24.584293	5.6274443	8.067164	-3916.7268
-42.78472	26.632963	1125.3842	-16.311686	10.521406	11.579727	-3817.9988
-42.75148	26.622715	1128.8792	3.8961623	13.642173	11.523863	-3779.1794
-42.718246	26.61246	1132.3741	31.585293	11.938943	8.746065	-3802.7024
-42.68502	26.602196	1135.8691	55.72081	6.578787	4.4016533	-3942.3818
-42.651802	26.591925	1139.3641	68.56806	-0.41716316	-0.75888896	-4126.76
-42.618584	26.581646	1142.8591	67.651794	-4.357807	-4.493524	-4269.2134
-42.585377	26.57136	1146.3541	54.903255	-5.4288173	-5.432798	-4312.1997
-42.552174	26.561064	1149.8491	34.0667	-5.534544	-3.6377413	-4273.808
-42.518974	26.550762	1153.3441	9.185352	-2.9109855	-0.5043382	-4197.8477
